Rk,Gcar,Gtm,Date,Team,,Opp,Type,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
106,106,6,2023-11-24,Iowa,N,Purdue Fort Wayne,REG (Non-Conf),W 98-59,*,23,8,13,0.615,6,9,0.667,2,4,0.500,0.846,7,9,0.778,0,3,3,8,3,0,5,1,29,26.4
107,107,7,2023-11-25,Iowa,N,Florida Gulf Coast,REG (Non-Conf),W 100-62,*,26,7,14,0.500,4,8,0.500,3,6,0.500,0.643,3,4,0.750,2,4,6,6,0,0,6,1,21,14.0
108,108,8,2023-11-26,Iowa,N,Kansas State,REG (Non-Conf),W 77-70,*,39,10,25,0.400,7,16,0.438,3,9,0.333,0.540,5,8,0.625,1,4,5,6,3,0,2,1,32,24.0
109,109,9,2023-12-02,Iowa,,Bowling Green,REG (Non-Conf),W 99-65,*,32,10,20,0.500,2,11,0.182,8,9,0.889,0.550,2,3,0.667,0,7,7,11,0,2,4,3,24,19.6
110,110,10,2023-12-06,Iowa,@,Iowa State,REG (Non-Conf),W 67-58,*,39,12,31,0.387,6,16,0.375,6,15,0.400,0.484,5,5,1.000,2,7,9,5,0,0,3,4,35,20.5
111,111,11,2023-12-10,Iowa,@,Wisconsin,REG (Conf),W 87-65,*,35,11,19,0.579,4,8,0.500,7,11,0.636,0.684,2,2,1.000,1,8,9,5,0,0,4,1,28,21.3
112,112,12,2023-12-16,Iowa,N,Cleveland State,REG (Non-Conf),W 104-75,*,31,13,21,0.619,9,16,0.563,4,5,0.800,0.833,3,3,1.000,0,5,5,5,2,0,9,3,38,25.3
113,113,13,2023-12-21,Iowa,,Loyola Chicago,REG (Non-Conf),W 98-69,*,36,12,21,0.571,4,12,0.333,8,9,0.889,0.667,7,8,0.875,1,16,17,10,1,1,4,1,35,34.5
114,114,14,2023-12-30,Iowa,,Minnesota,REG (Conf),W 94-71,*,32,13,22,0.591,8,16,0.500,5,6,0.833,0.773,1,3,0.333,0,5,5,10,2,2,9,2,35,26.1
115,115,15,2024-01-02,Iowa,,Michigan State,REG (Conf),W 76-73,*,37,14,34,0.412,8,20,0.400,6,14,0.429,0.529,4,4,1.000,0,1,1,5,3,1,6,2,40,22.5
